"","city","city_ascii","province_id","province_name","lat","lng","population","density","overall_csi_index","overall_csi_rank","violent_csi_index","violent_csi_rank","nonviolent_csi_index","nonviolent_csi_rank"
"462","Rockwood","Rockwood","MB","Manitoba",50.2856,-97.2869,7823,6.5,NA,NA,NA,NA,NA,NA
"463","Drummond/North Elmsley","Drummond/North Elmsley","ON","Ontario",44.9667,-76.2,7773,21.2,NA,NA,NA,NA,NA,NA
"464","Dryden","Dryden","ON","Ontario",49.7833,-92.8333,7749,117.1,NA,NA,NA,NA,NA,NA
"465","Iqaluit","Iqaluit","NU","Nunavut",63.7598,-68.5107,7740,147.4,NA,NA,NA,NA,NA,NA
"466","Fort Frances","Fort Frances","ON","Ontario",48.6167,-93.4,7739,303.4,NA,NA,NA,NA,NA,NA
"467","La Sarre","La Sarre","QC","Quebec",48.8,-79.2,7719,51.9,NA,NA,NA,NA,NA,NA
"468","Trail","Trail","BC","British Columbia",49.095,-117.71,7709,220.7,NA,NA,NA,NA,NA,NA
"469","Chandler","Chandler","QC","Quebec",48.35,-64.6833,7703,18.4,NA,NA,NA,NA,NA,NA
"470","Stone Mills","Stone Mills","ON","Ontario",44.45,-76.9167,7702,10.9,NA,NA,NA,NA,NA,NA
"471","Hanover","Hanover","ON","Ontario",44.15,-81.0333,7688,763.8,NA,NA,NA,NA,NA,NA
"472","South-West Oxford","South-West Oxford","ON","Ontario",42.95,-80.8,7664,20.7,NA,NA,NA,NA,NA,NA
"473","Acton Vale","Acton Vale","QC","Quebec",45.65,-72.5667,7664,84.2,NA,NA,NA,NA,NA,NA
"474","Bromont","Bromont","QC","Quebec",45.3167,-72.65,7649,66.9,21.23,321,16.18,322,23,314
"475","Beckwith","Beckwith","ON","Ontario",45.0833,-76.0667,7644,31.8,NA,NA,NA,NA,NA,NA
"476","Goderich","Goderich","ON","Ontario",43.7333,-81.7,7628,882.8,NA,NA,NA,NA,NA,NA
"477","Plympton-Wyoming","Plympton-Wyoming","ON","Ontario",43.0167,-82.0833,7576,23.8,NA,NA,NA,NA,NA,NA
"478","Central Huron","Central Huron","ON","Ontario",43.63,-81.57,7576,16.9,NA,NA,NA,NA,NA,NA
"479","Rigaud","Rigaud","QC","Quebec",45.4833,-74.3,7566,74.1,NA,NA,NA,NA,NA,NA
"480","Louiseville","Louiseville","QC","Quebec",46.25,-72.95,7517,120.1,NA,NA,NA,NA,NA,NA
"481","Chibougamau","Chibougamau","QC","Quebec",49.9167,-74.3667,7504,10.7,NA,NA,NA,NA,NA,NA
"482","Aylmer","Aylmer","ON","Ontario",42.7667,-80.9833,7492,1197.6,NA,NA,NA,NA,NA,NA
"483","Delson","Delson","QC","Quebec",45.37,-73.55,7462,982.6,NA,NA,NA,NA,NA,NA
"484","Kimberley","Kimberley","BC","British Columbia",49.6697,-115.9775,7425,122.5,NA,NA,NA,NA,NA,NA
"485","Blandford-Blenheim","Blandford-Blenheim","ON","Ontario",43.2333,-80.6,7399,19.4,NA,NA,NA,NA,NA,NA
"486","Bayham","Bayham","ON","Ontario",42.7333,-80.7833,7396,30.2,NA,NA,NA,NA,NA,NA
"487","Augusta","Augusta","ON","Ontario",44.7511,-75.6003,7353,23.4,NA,NA,NA,NA,NA,NA
"488","Puslinch","Puslinch","ON","Ontario",43.45,-80.1667,7336,34.2,NA,NA,NA,NA,NA,NA
"489","Beauport","Beauport","QC","Quebec",46.9667,-71.3,7281,118.8,NA,NA,NA,NA,NA,NA
"490","Saint-Rémi","Saint-Remi","QC","Quebec",45.2667,-73.6167,7265,92.2,NA,NA,NA,NA,NA,NA
"491","St. Marys","St. Marys","ON","Ontario",43.2583,-81.1333,7265,583.5,NA,NA,NA,NA,NA,NA
"492","Drayton Valley","Drayton Valley","AB","Alberta",53.2222,-114.9769,7235,235.5,NA,NA,NA,NA,NA,NA
"493","Ponoka","Ponoka","AB","Alberta",52.6833,-113.5667,7229,417.1,NA,NA,NA,NA,NA,NA
"494","Labrador City","Labrador City","NL","Newfoundland and Labrador",52.95,-66.9167,7220,186,NA,NA,NA,NA,NA,NA
"495","Donnacona","Donnacona","QC","Quebec",46.6747,-71.7294,7200,357.6,NA,NA,NA,NA,NA,NA
"496","Southgate","Southgate","ON","Ontario",44.1,-80.5833,7190,11.4,NA,NA,NA,NA,NA,NA
"497","McNab/Braeside","McNab/Braeside","ON","Ontario",45.45,-76.5,7178,28.1,NA,NA,NA,NA,NA,NA
"498","Macdonald","Macdonald","MB","Manitoba",49.6725,-97.4472,7162,6.2,NA,NA,NA,NA,NA,NA
"499","Hampstead","Hampstead","QC","Quebec",45.4833,-73.6333,7153,3996.5,NA,NA,NA,NA,NA,NA
"500","Baie-Saint-Paul","Baie-Saint-Paul","QC","Quebec",47.45,-70.5,7146,13.1,NA,NA,NA,NA,NA,NA
"501","Merritt","Merritt","BC","British Columbia",50.1128,-120.7897,7139,273.9,NA,NA,NA,NA,NA,NA
"502","Bluewater","Bluewater","ON","Ontario",43.45,-81.6,7136,17.1,NA,NA,NA,NA,NA,NA
"503","East Zorra-Tavistock","East Zorra-Tavistock","ON","Ontario",43.2333,-80.7833,7129,29.4,NA,NA,NA,NA,NA,NA
"504","Brownsburg","Brownsburg","QC","Quebec",45.6703,-74.4467,7122,28.8,NA,NA,NA,NA,NA,NA
"505","Stoneham-et-Tewkesbury","Stoneham-et-Tewkesbury","QC","Quebec",47.1667,-71.4333,7106,10.6,NA,NA,NA,NA,NA,NA
"506","Asbestos","Asbestos","QC","Quebec",45.7667,-71.9333,7096,239.1,NA,NA,NA,NA,NA,NA
"507","Huron-Kinloss","Huron-Kinloss","ON","Ontario",44.05,-81.5333,7069,16,NA,NA,NA,NA,NA,NA
"508","Coteau-du-Lac","Coteau-du-Lac","QC","Quebec",45.3,-74.18,7044,150.2,NA,NA,NA,NA,NA,NA
"509","The Blue Mountains","The Blue Mountains","ON","Ontario",44.4833,-80.3833,7025,24.5,NA,NA,NA,NA,NA,NA
"510","Whitewater Region","Whitewater Region","ON","Ontario",45.7167,-76.8333,7009,13,NA,NA,NA,NA,NA,NA
"511","Edwardsburgh/Cardinal","Edwardsburgh/Cardinal","ON","Ontario",44.8333,-75.5,6959,22.3,NA,NA,NA,NA,NA,NA
"512","Sainte-Anne-des-Monts","Sainte-Anne-des-Monts","QC","Quebec",49.1333,-66.5,6933,26.3,NA,NA,NA,NA,NA,NA
"513","Old Chelsea","Old Chelsea","QC","Quebec",45.5,-75.7833,6909,60.7,NA,NA,NA,NA,NA,NA
"514","North Stormont","North Stormont","ON","Ontario",45.2167,-75,6873,13.3,NA,NA,NA,NA,NA,NA
"515","Alnwick/Haldimand","Alnwick/Haldimand","ON","Ontario",44.0833,-78.0333,6869,17.25,46.2,212,51.56,221,44.16,206
"516","Peace River","Peace River","AB","Alberta",56.2339,-117.2897,6842,260.6,NA,NA,NA,NA,NA,NA
"517","Arran-Elderslie","Arran-Elderslie","ON","Ontario",44.4,-81.2,6803,14.8,NA,NA,NA,NA,NA,NA
"518","Saint-Zotique","Saint-Zotique","QC","Quebec",45.25,-74.25,6773,268.8,NA,NA,NA,NA,NA,NA
"519","Val-Shefford","Val-Shefford","QC","Quebec",45.35,-72.5667,6711,56.7,NA,NA,NA,NA,NA,NA
"520","Douro-Dummer","Douro-Dummer","ON","Ontario",44.45,-78.1,6709,14.6,NA,NA,NA,NA,NA,NA
"521","Plessisville","Plessisville","QC","Quebec",46.2167,-71.7833,6688,1546,NA,NA,NA,NA,NA,NA
"522","Ritchot","Ritchot","MB","Manitoba",49.6647,-97.1167,6679,20,NA,NA,NA,NA,NA,NA
"523","Otonabee-South Monaghan","Otonabee-South Monaghan","ON","Ontario",44.2333,-78.2333,6670,19.2,NA,NA,NA,NA,NA,NA
"524","Shediac","Shediac","NB","New Brunswick",46.2167,-64.5333,6664,123.5,NA,NA,NA,NA,NA,NA
"525","Slave Lake","Slave Lake","AB","Alberta",55.2853,-114.7706,6651,460.5,NA,NA,NA,NA,NA,NA
"526","Port-Cartier","Port-Cartier","QC","Quebec",50.0333,-66.8667,6651,6,NA,NA,NA,NA,NA,NA
"527","Saint-Lambert-de-Lauzon","Saint-Lambert-de-Lauzon","QC","Quebec",46.5865,-71.2271,6647,62.2,NA,NA,NA,NA,NA,NA
"528","Barrington","Barrington","NS","Nova Scotia",43.5646,-65.5639,6646,10.5,NA,NA,NA,NA,NA,NA
"529","Rocky Mountain House","Rocky Mountain House","AB","Alberta",52.3753,-114.9217,6635,521.8,231.54,9,384.53,4,175.97,13
"530","Chatsworth","Chatsworth","ON","Ontario",44.38,-80.87,6630,11.1,NA,NA,NA,NA,NA,NA
"531","Stephenville","Stephenville","NL","Newfoundland and Labrador",48.55,-58.5667,6623,185.6,NA,NA,NA,NA,NA,NA
"532","Muskoka Falls","Muskoka Falls","ON","Ontario",45.1264,-79.558,6588,8.3,NA,NA,NA,NA,NA,NA
"533","Devon","Devon","AB","Alberta",53.3633,-113.7322,6578,460.2,NA,NA,NA,NA,NA,NA
"534","Yarmouth","Yarmouth","NS","Nova Scotia",43.8361,-66.1175,6518,616.9,NA,NA,NA,NA,NA,NA
"535","Boischatel","Boischatel","QC","Quebec",46.9,-71.15,6465,308.8,NA,NA,NA,NA,NA,NA
"536","Parry Sound","Parry Sound","ON","Ontario",45.3333,-80.0333,6408,478.2,NA,NA,NA,NA,NA,NA
"537","Pointe-Calumet","Pointe-Calumet","QC","Quebec",45.5,-73.97,6396,1382.4,NA,NA,NA,NA,NA,NA
"538","Beaubassin East / Beaubassin-est","Beaubassin East / Beaubassin-est","NB","New Brunswick",46.1726,-64.3122,6376,21.9,NA,NA,NA,NA,NA,NA
"539","Wainfleet","Wainfleet","ON","Ontario",42.925,-79.375,6372,29.3,NA,NA,NA,NA,NA,NA
"540","Cramahe","Cramahe","ON","Ontario",44.0833,-77.8833,6355,31.4,NA,NA,NA,NA,NA,NA
"541","Beauceville","Beauceville","QC","Quebec",46.2,-70.7833,6354,37.9,NA,NA,NA,NA,NA,NA
"542","North Middlesex","North Middlesex","ON","Ontario",43.15,-81.6333,6352,10.6,NA,NA,NA,NA,NA,NA
"543","Amqui","Amqui","QC","Quebec",48.4667,-67.4333,6322,52.3,NA,NA,NA,NA,NA,NA
"544","Sainte-Catherine-de-la-Jacques-Cartier","Sainte-Catherine-de-la-Jacques-Cartier","QC","Quebec",46.85,-71.6167,6319,52.1,NA,NA,NA,NA,NA,NA
"545","Clarenville","Clarenville","NL","Newfoundland and Labrador",48.1566,-53.965,6291,44.7,NA,NA,NA,NA,NA,NA
"546","Mont-Joli","Mont-Joli","QC","Quebec",48.58,-68.18,6281,272.6,NA,NA,NA,NA,NA,NA
"547","Dysart et al","Dysart et al","ON","Ontario",45.2042,-78.4047,6280,4.2,NA,NA,NA,NA,NA,NA
"548","Wainwright","Wainwright","AB","Alberta",52.8333,-110.8667,6270,688.7,NA,NA,NA,NA,NA,NA
"549","Contrecoeur","Contrecoeur","QC","Quebec",45.85,-73.2333,6252,102.2,NA,NA,NA,NA,NA,NA
"550","Beresford","Beresford","NB","New Brunswick",47.7181,-65.8794,6248,13.7,NA,NA,NA,NA,NA,NA
"551","Saint-Joseph-du-Lac","Saint-Joseph-du-Lac","QC","Quebec",45.5333,-74,6195,149.7,NA,NA,NA,NA,NA,NA
"552","Hope","Hope","BC","British Columbia",49.3858,-121.4419,6181,151,NA,NA,NA,NA,NA,NA
"553","Gimli","Gimli","MB","Manitoba",50.6619,-97.0297,6181,19.5,NA,NA,NA,NA,NA,NA
"554","Douglas","Douglas","NB","New Brunswick",46.2819,-66.942,6154,4.3,NA,NA,NA,NA,NA,NA
"555","Saint-Apollinaire","Saint-Apollinaire","QC","Quebec",46.6167,-71.5167,6110,63,NA,NA,NA,NA,NA,NA
"556","Hindon Hill","Hindon Hill","ON","Ontario",44.9333,-78.7333,6088,6.9,NA,NA,NA,NA,NA,NA
"557","Les Cèdres","Les Cedres","QC","Quebec",45.3,-74.05,6079,78.1,NA,NA,NA,NA,NA,NA
"558","La Broquerie","La Broquerie","MB","Manitoba",49.3994,-96.5103,6076,10.5,NA,NA,NA,NA,NA,NA
"559","Kent","Kent","BC","British Columbia",49.2833,-121.75,6067,35.9,NA,NA,NA,NA,NA,NA
"560","Tweed","Tweed","ON","Ontario",44.6,-77.3333,6044,6.3,NA,NA,NA,NA,NA,NA
"561","Saint-Félix-de-Valois","Saint-Felix-de-Valois","QC","Quebec",46.17,-73.43,6029,68.6,NA,NA,NA,NA,NA,NA
"562","Bay Roberts","Bay Roberts","NL","Newfoundland and Labrador",47.5847,-53.2783,6012,249.9,NA,NA,NA,NA,NA,NA
"563","Melfort","Melfort","SK","Saskatchewan",52.8564,-104.61,5992,405.4,NA,NA,NA,NA,NA,NA
"564","Bonnyville","Bonnyville","AB","Alberta",54.2667,-110.75,5975,421.4,NA,NA,NA,NA,NA,NA
"565","Stettler","Stettler","AB","Alberta",52.3236,-112.7192,5952,453,NA,NA,NA,NA,NA,NA
"566","Saint-Calixte","Saint-Calixte","QC","Quebec",45.95,-73.85,5934,41.4,NA,NA,NA,NA,NA,NA
"567","Lac-Mégantic","Lac-Megantic","QC","Quebec",45.5833,-70.8833,5932,272.5,NA,NA,NA,NA,NA,NA
"568","Perth","Perth","ON","Ontario",44.9,-76.25,5930,484.1,NA,NA,NA,NA,NA,NA
"569","Oliver Paipoonge","Oliver Paipoonge","ON","Ontario",48.39,-89.52,5922,16.9,NA,NA,NA,NA,NA,NA
"570","Humboldt","Humboldt","SK","Saskatchewan",52.2019,-105.1231,5869,1783.4,NA,NA,NA,NA,NA,NA
"571","Charlemagne","Charlemagne","QC","Quebec",45.7167,-73.4833,5853,2704,NA,NA,NA,NA,NA,NA
"572","Pontiac","Pontiac","QC","Quebec",45.5833,-76.1333,5850,13.1,NA,NA,NA,NA,NA,NA
